photon_0_tx_bit,photon_0_t_basis,photon_0_rx_bit,photon_0_rx_basis,photon_0_basis_match,photon_0_bit_error,photon_1_tx_bit,photon_1_t_basis,photon_1_rx_bit,photon_1_rx_basis,photon_1_basis_match,photon_1_bit_error,photon_2_tx_bit,photon_2_t_basis,photon_2_rx_bit,photon_2_rx_basis,photon_2_basis_match,photon_2_bit_error,photon_3_tx_bit,photon_3_t_basis,photon_3_rx_bit,photon_3_rx_basis,photon_3_basis_match,photon_3_bit_error,eavesdropped
1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1
1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1
1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1
1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1
1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1
0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1
0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1
1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0
1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1
1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1
0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0
1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0
1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1
0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1
1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0
1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1
1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1
1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1
1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1
0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
